
      Q2           X            U            D          UBAR         DBAR          S             

  1.0000E+00   1.0000E-05   1.3284E+01  -6.8525E+01   1.0194E+01  -1.7989E+02  -3.8168E+02
  1.0000E+00   3.1620E-05   9.0778E+00  -3.1094E+01   7.1520E+00  -6.8875E+01  -1.4574E+02
  1.0000E+00   1.0000E-04   6.2742E+00  -1.5256E+01   5.0117E+00  -2.6476E+01  -5.5534E+01
  1.0000E+00   3.1620E-04   4.3033E+00  -8.1520E+00   3.5024E+00  -1.0310E+01  -2.1041E+01
  1.0000E+00   1.0000E-03   2.9288E+00  -4.7249E+00   2.4265E+00  -4.1692E+00  -7.8220E+00
  1.0000E+00   3.1620E-03   2.0189E+00  -2.9346E+00   1.6354E+00  -1.8626E+00  -2.7328E+00
  1.0000E+00   1.0000E-02   1.5333E+00  -1.9273E+00   1.0077E+00  -1.0067E+00  -7.5773E-01
  1.0000E+00   3.1620E-02   1.5072E+00  -1.3332E+00   4.5422E-01  -6.4016E-01  -2.1965E-02
  1.0000E+00   1.0000E-01   1.8023E+00  -9.4656E-01   3.2945E-02  -3.1032E-01   1.1812E-01
  1.0000E+00   3.1620E-01   1.3153E+00  -3.8932E-01  -1.5622E-02  -2.2528E-02   1.2354E-02
  1.0000E+00   1.0000E+00   7.0938E-05  -2.0164E-06   1.0342E-09   1.6384E-09  -1.0767E-09
  3.1620E+00   1.0000E-05   3.3914E+01  -7.2341E+01   2.6404E+01  -1.8181E+02  -3.9193E+02
  3.1620E+00   3.1620E-05   1.9848E+01  -3.5598E+01   1.4608E+01  -7.0486E+01  -1.4939E+02
  3.1620E+00   1.0000E-04   1.2331E+01  -1.8855E+01   8.5854E+00  -2.7663E+01  -5.6676E+01
  3.1620E+00   3.1620E-04   7.9298E+00  -1.0669E+01   5.2309E+00  -1.1142E+01  -2.1258E+01
  3.1620E+00   1.0000E-03   5.2187E+00  -6.3637E+00   3.2135E+00  -4.7376E+00  -7.7353E+00
  3.1620E+00   3.1620E-03   3.5426E+00  -3.9439E+00   1.9168E+00  -2.2341E+00  -2.5868E+00
  3.1620E+00   1.0000E-02   2.5918E+00  -2.5092E+00   1.0203E+00  -1.2204E+00  -6.5383E-01
  3.1620E+00   3.1620E-02   2.2094E+00  -1.6193E+00   3.6750E-01  -7.1484E-01   3.5263E-03
  3.1620E+00   1.0000E-01   2.0704E+00  -9.8625E-01   1.0923E-03  -2.8416E-01   1.0122E-01
  3.1620E+00   3.1620E-01   1.1270E+00  -3.1259E-01  -1.0446E-02  -1.4680E-02   9.0643E-03
  3.1620E+00   1.0000E+00   2.9723E-05  -2.6299E-08   5.0934E-10   6.5156E-10  -1.3667E-09
  1.0000E+01   1.0000E-05   4.8528E+01  -7.8310E+01   3.6523E+01  -1.8530E+02  -4.0045E+02
  1.0000E+01   3.1620E-05   2.7565E+01  -4.0669E+01   1.9029E+01  -7.2880E+01  -1.5275E+02
  1.0000E+01   1.0000E-04   1.6771E+01  -2.2407E+01   1.0610E+01  -2.9174E+01  -5.7881E+01
  1.0000E+01   3.1620E-04   1.0657E+01  -1.2943E+01   6.1663E+00  -1.2058E+01  -2.1594E+01
  1.0000E+01   1.0000E-03   6.9696E+00  -7.7338E+00   3.6107E+00  -5.2771E+00  -7.7501E+00
  1.0000E+01   3.1620E-03   4.7005E+00  -4.7243E+00   2.0330E+00  -2.5376E+00  -2.5153E+00
  1.0000E+01   1.0000E-02   3.3626E+00  -2.9181E+00   9.9756E-01  -1.3673E+00  -5.9485E-01
  1.0000E+01   3.1620E-02   2.6767E+00  -1.7884E+00   3.1202E-01  -7.4812E-01   2.0690E-02
  1.0000E+01   1.0000E-01   2.2054E+00  -9.8852E-01  -1.0249E-02  -2.5932E-01   9.4668E-02
  1.0000E+01   3.1620E-01   9.9845E-01  -2.6579E-01  -7.7452E-03  -1.0741E-02   7.3539E-03
  1.0000E+01   1.0000E+00   1.3368E-05   3.0926E-07   3.5046E-10   3.9802E-10  -1.1769E-09
  3.1620E+01   1.0000E-05   5.9528E+01  -8.5624E+01   4.3055E+01  -1.8996E+02  -4.0857E+02
  3.1620E+01   3.1620E-05   3.3515E+01  -4.6030E+01   2.1755E+01  -7.5753E+01  -1.5609E+02
  3.1620E+01   1.0000E-04   2.0318E+01  -2.5864E+01   1.1834E+01  -3.0825E+01  -5.9132E+01
  3.1620E+01   3.1620E-04   1.2902E+01  -1.5021E+01   6.7269E+00  -1.2972E+01  -2.1972E+01
  3.1620E+01   1.0000E-03   8.4310E+00  -8.9207E+00   3.8400E+00  -5.7700E+00  -7.7983E+00
  3.1620E+01   3.1620E-03   5.6593E+00  -5.3648E+00   2.0863E+00  -2.7903E+00  -2.4705E+00
  3.1620E+01   1.0000E-02   3.9797E+00  -3.2312E+00   9.6849E-01  -1.4753E+00  -5.5218E-01
  3.1620E+01   3.1620E-02   3.0256E+00  -1.9011E+00   2.7398E-01  -7.6256E-01   3.5500E-02
  3.1620E+01   1.0000E-01   2.2823E+00  -9.7876E-01  -1.4662E-02  -2.3797E-01   9.1473E-02
  3.1620E+01   3.1620E-01   9.0234E-01  -2.3315E-01  -6.0759E-03  -8.3576E-03   6.2594E-03
  3.1620E+01   1.0000E+00   6.1215E-06   3.3476E-07   3.7128E-10   3.6353E-10  -9.1771E-10
  1.0000E+02   1.0000E-05   6.8066E+01  -9.4078E+01   4.7107E+01  -1.9568E+02  -4.1683E+02
  1.0000E+02   3.1620E-05   3.8336E+01  -5.1640E+01   2.3383E+01  -7.8995E+01  -1.5952E+02
  1.0000E+02   1.0000E-04   2.3328E+01  -2.9255E+01   1.2577E+01  -3.2560E+01  -6.0418E+01
  1.0000E+02   3.1620E-04   1.4866E+01  -1.6961E+01   7.0790E+00  -1.3869E+01  -2.2363E+01
  1.0000E+02   1.0000E-03   9.7217E+00  -9.9817E+00   3.9822E+00  -6.2222E+00  -7.8575E+00
  1.0000E+02   3.1620E-03   6.4974E+00  -5.9133E+00   2.1108E+00  -3.0062E+00  -2.4366E+00
  1.0000E+02   1.0000E-02   4.5035E+00  -3.4841E+00   9.4015E-01  -1.5578E+00  -5.1641E-01
  1.0000E+02   3.1620E-02   3.3041E+00  -1.9813E+00   2.4662E-01  -7.6674E-01   4.9396E-02
  1.0000E+02   1.0000E-01   2.3280E+00  -9.6429E-01  -1.6169E-02  -2.1965E-01   8.9604E-02
  1.0000E+02   3.1620E-01   8.2601E-01  -2.0847E-01  -4.9372E-03  -6.7537E-03   5.4742E-03
  1.0000E+02   1.0000E+00   2.6099E-06   2.9292E-07   4.3679E-10   3.8244E-10  -6.9053E-10
  3.1620E+02   1.0000E-05   7.4916E+01  -1.0310E+02   4.9535E+01  -2.0196E+02  -4.2508E+02
  3.1620E+02   3.1620E-05   4.2376E+01  -5.7308E+01   2.4302E+01  -8.2414E+01  -1.6296E+02
  3.1620E+02   1.0000E-04   2.5956E+01  -3.2548E+01   1.3011E+01  -3.4317E+01  -6.1709E+01
  3.1620E+02   3.1620E-04   1.6623E+01  -1.8784E+01   7.2967E+00  -1.4741E+01  -2.2759E+01
  3.1620E+02   1.0000E-03   1.0885E+01  -1.0947E+01   4.0699E+00  -6.6417E+00  -7.9227E+00
  3.1620E+02   3.1620E-03   7.2481E+00  -6.3948E+00   2.1192E+00  -3.1946E+00  -2.4088E+00
  3.1620E+02   1.0000E-02   4.9619E+00  -3.6948E+00   9.1445E-01  -1.6225E+00  -4.8425E-01
  3.1620E+02   3.1620E-02   3.5350E+00  -2.0407E+00   2.2638E-01  -7.6483E-01   6.2671E-02
  3.1620E+02   1.0000E-01   2.3550E+00  -9.4798E-01  -1.6337E-02  -2.0385E-01   8.8293E-02
  3.1620E+02   3.1620E-01   7.6321E-01  -1.8894E-01  -4.1134E-03  -5.6039E-03   4.8729E-03
  3.1620E+02   1.0000E+00   8.2283E-07   2.4125E-07   5.0317E-10   4.0616E-10  -5.1076E-10
  1.0000E+03   1.0000E-05   8.0397E+01  -1.1261E+02   5.0660E+01  -2.0874E+02  -4.3341E+02
  1.0000E+03   3.1620E-05   4.5799E+01  -6.3013E+01   2.4673E+01  -8.5972E+01  -1.6643E+02
  1.0000E+03   1.0000E-04   2.8288E+01  -3.5752E+01   1.3217E+01  -3.6083E+01  -6.3001E+01
  1.0000E+03   3.1620E-04   1.8222E+01  -2.0505E+01   7.4217E+00  -1.5585E+01  -2.3153E+01
  1.0000E+03   1.0000E-03   1.1953E+01  -1.1834E+01   4.1228E+00  -7.0308E+00  -7.9885E+00
  1.0000E+03   3.1620E-03   7.9319E+00  -6.8225E+00   2.1194E+00  -3.3598E+00  -2.3833E+00
  1.0000E+03   1.0000E-02   5.3704E+00  -3.8733E+00   8.9212E-01  -1.6733E+00  -4.5396E-01
  1.0000E+03   3.1620E-02   3.7307E+00  -2.0856E+00   2.1115E-01  -7.5912E-01   7.5361E-02
  1.0000E+03   1.0000E-01   2.3695E+00  -9.3114E-01  -1.5842E-02  -1.9014E-01   8.7244E-02
  1.0000E+03   3.1620E-01   7.1039E-01  -1.7300E-01  -3.4927E-03  -4.7438E-03   4.3951E-03
  1.0000E+03   1.0000E+00  -1.0066E-07   1.9454E-07   5.5856E-10   4.2192E-10  -3.7310E-10
  3.1620E+03   1.0000E-05   8.4738E+01  -1.2250E+02   5.0710E+01  -2.1596E+02  -4.4185E+02
  3.1620E+03   3.1620E-05   4.8724E+01  -6.8733E+01   2.4611E+01  -8.9636E+01  -1.6992E+02
  3.1620E+03   1.0000E-04   3.0387E+01  -3.8869E+01   1.3253E+01  -3.7844E+01  -6.4288E+01
  3.1620E+03   3.1620E-04   1.9697E+01  -2.2135E+01   7.4810E+00  -1.6399E+01  -2.3540E+01
  3.1620E+03   1.0000E-03   1.2943E+01  -1.2652E+01   4.1531E+00  -7.3916E+00  -8.0515E+00
  3.1620E+03   3.1620E-03   8.5622E+00  -7.2057E+00   2.1156E+00  -3.5051E+00  -2.3581E+00
  3.1620E+03   1.0000E-02   5.7393E+00  -4.0265E+00   8.7319E-01  -1.7133E+00  -4.2474E-01
  3.1620E+03   3.1620E-02   3.8992E+00  -2.1199E+00   1.9955E-01  -7.5099E-01   8.7456E-02
  3.1620E+03   1.0000E-01   2.3757E+00  -9.1440E-01  -1.5022E-02  -1.7815E-01   8.6318E-02
  3.1620E+03   3.1620E-01   6.6520E-01  -1.5971E-01  -3.0106E-03  -4.0795E-03   4.0052E-03
  3.1620E+03   1.0000E+00  -5.7096E-07   1.5580E-07   6.0013E-10   4.2643E-10  -2.6995E-10
  1.0000E+04   1.0000E-05   8.8119E+01  -1.3274E+02   4.9864E+01  -2.2355E+02  -4.5042E+02
  1.0000E+04   3.1620E-05   5.1240E+01  -7.4454E+01   2.4202E+01  -9.3379E+01  -1.7342E+02
  1.0000E+04   1.0000E-04   3.2298E+01  -4.1902E+01   1.3158E+01  -3.9592E+01  -6.5566E+01
  1.0000E+04   3.1620E-04   2.1072E+01  -2.3684E+01   7.4932E+00  -1.7183E+01  -2.3916E+01
  1.0000E+04   1.0000E-03   1.3871E+01  -1.3410E+01   4.1689E+00  -7.7263E+00  -8.1101E+00
  1.0000E+04   3.1620E-03   9.1488E+00  -7.5515E+00   2.1102E+00  -3.6331E+00  -2.3323E+00
  1.0000E+04   1.0000E-02   6.0759E+00  -4.1592E+00   8.5743E-01  -1.7445E+00  -3.9619E-01
  1.0000E+04   3.1620E-02   4.0461E+00  -2.1464E+00   1.9065E-01  -7.4135E-01   9.8950E-02
  1.0000E+04   1.0000E-01   2.3759E+00  -8.9805E-01  -1.4055E-02  -1.6758E-01   8.5451E-02
  1.0000E+04   3.1620E-01   6.2598E-01  -1.4844E-01  -2.6267E-03  -3.5530E-03   3.6801E-03
  1.0000E+04   1.0000E+00  -7.9609E-07   1.2465E-07   6.2895E-10   4.2047E-10  -1.9364E-10
  3.1620E+04   1.0000E-05   9.0679E+01  -1.4324E+02   4.8259E+01  -2.3145E+02  -4.5912E+02
  3.1620E+04   3.1620E-05   5.3415E+01  -8.0159E+01   2.3512E+01  -9.7178E+01  -1.7695E+02
  3.1620E+04   1.0000E-04   3.4055E+01  -4.4855E+01   1.2963E+01  -4.1321E+01  -6.6829E+01
  3.1620E+04   3.1620E-04   2.2366E+01  -2.5159E+01   7.4716E+00  -1.7935E+01  -2.4281E+01
  3.1620E+04   1.0000E-03   1.4748E+01  -1.4116E+01   4.1754E+00  -8.0369E+00  -8.1630E+00
  3.1620E+04   3.1620E-03   9.6985E+00  -7.8654E+00   2.1049E+00  -3.7462E+00  -2.3052E+00
  3.1620E+04   1.0000E-02   6.3854E+00  -4.2752E+00   8.4450E-01  -1.7688E+00  -3.6813E-01
  3.1620E+04   3.1620E-02   4.1754E+00  -2.1669E+00   1.8377E-01  -7.3076E-01   1.0984E-01
  3.1620E+04   1.0000E-01   2.3718E+00  -8.8225E-01  -1.3036E-02  -1.5819E-01   8.4612E-02
  3.1620E+04   3.1620E-01   5.9157E-01  -1.3873E-01  -2.3149E-03  -3.1272E-03   3.4046E-03
  3.1620E+04   1.0000E+00  -8.8609E-07   9.9873E-08   6.4736E-10   4.0618E-10  -1.3760E-10
  1.0000E+05   1.0000E-05   9.2533E+01  -1.5398E+02   4.6006E+01  -2.3963E+02  -4.6793E+02
  1.0000E+05   3.1620E-05   5.5304E+01  -8.5838E+01   2.2592E+01  -1.0102E+02  -1.8047E+02
  1.0000E+05   1.0000E-04   3.5685E+01  -4.7729E+01   1.2690E+01  -4.3026E+01  -6.8074E+01
  1.0000E+05   3.1620E-04   2.3592E+01  -2.6565E+01   7.4259E+00  -1.8658E+01  -2.4631E+01
  1.0000E+05   1.0000E-03   1.5581E+01  -1.4776E+01   4.1762E+00  -8.3251E+00  -8.2096E+00
  1.0000E+05   3.1620E-03   1.0217E+01  -8.1517E+00   2.1004E+00  -3.8461E+00  -2.2767E+00
  1.0000E+05   1.0000E-02   6.6719E+00  -4.3773E+00   8.3406E-01  -1.7874E+00  -3.4046E-01
  1.0000E+05   3.1620E-02   4.2901E+00  -2.1827E+00   1.7844E-01  -7.1963E-01   1.2015E-01
  1.0000E+05   1.0000E-01   2.3647E+00  -8.6707E-01  -1.2017E-02  -1.4981E-01   8.3785E-02
  1.0000E+05   3.1620E-01   5.6108E-01  -1.3027E-01  -2.0575E-03  -2.7768E-03   3.1678E-03
  1.0000E+05   1.0000E+00  -9.0139E-07   8.0202E-08   6.5788E-10   3.8590E-10  -9.6492E-11
