<mfield>
       <description name="oxford_ptarget" factory="ASCII" comment="oxford_ptarget"/>
       <symmetry type="cylindrical-x" format="map" integration="ClassicalRK4" minStep="0.01*mm"/>
       <map>
               <coordinate>
                       <first  name="transverse" npoints="200"   min="0"  max="199"  units="cm"/>
                       <second name="longitudinal"   npoints="401"  min="-200" max="200"  units="cm"/>
               </coordinate>
               <field unit="gauss"/>
               <interpolation type="linear"/>
               <shift z="-350" units="cm"/>
       </map>
</mfield>
0.000 -200.000 0.0 87.7
0.000 -199.000 0.0 89.1
0.000 -198.000 0.0 90.4
0.000 -197.000 0.0 91.8
0.000 -196.000 0.0 93.2
0.000 -195.000 0.0 94.7
0.000 -194.000 0.0 96.2
0.000 -193.000 0.0 97.7
0.000 -192.000 0.0 99.2
0.000 -191.000 0.0 100.8
0.000 -190.000 0.0 102.4
0.000 -189.000 0.0 104.1
0.000 -188.000 0.0 105.8
0.000 -187.000 0.0 107.5
0.000 -186.000 0.0 109.2
0.000 -185.000 0.0 111.0
0.000 -184.000 0.0 112.9
0.000 -183.000 0.0 114.7
0.000 -182.000 0.0 116.7
0.000 -181.000 0.0 118.6
0.000 -180.000 0.0 120.6
0.000 -179.000 0.0 122.7
0.000 -178.000 0.0 124.8
0.000 -177.000 0.0 126.9
0.000 -176.000 0.0 129.1
0.000 -175.000 0.0 131.4
0.000 -174.000 0.0 133.7
0.000 -173.000 0.0 136.0
0.000 -172.000 0.0 138.4
0.000 -171.000 0.0 140.9
0.000 -170.000 0.0 143.4
0.000 -169.000 0.0 146.0
0.000 -168.000 0.0 148.6
0.000 -167.000 0.0 151.3
0.000 -166.000 0.0 154.1
0.000 -165.000 0.0 157.0
0.000 -164.000 0.0 159.9
0.000 -163.000 0.0 162.9
0.000 -162.000 0.0 165.9
0.000 -161.000 0.0 169.1
0.000 -160.000 0.0 172.3
0.000 -159.000 0.0 175.6
0.000 -158.000 0.0 179.0
0.000 -157.000 0.0 182.5
0.000 -156.000 0.0 186.0
0.000 -155.000 0.0 189.7
0.000 -154.000 0.0 193.5
0.000 -153.000 0.0 197.3
0.000 -152.000 0.0 201.3
0.000 -151.000 0.0 205.4
0.000 -150.000 0.0 209.5
0.000 -149.000 0.0 213.8
0.000 -148.000 0.0 218.3
0.000 -147.000 0.0 222.8
0.000 -146.000 0.0 227.5
0.000 -145.000 0.0 232.2
0.000 -144.000 0.0 237.2
0.000 -143.000 0.0 242.2
0.000 -142.000 0.0 247.5
0.000 -141.000 0.0 252.8
0.000 -140.000 0.0 258.4
0.000 -139.000 0.0 264.0
0.000 -138.000 0.0 269.9
0.000 -137.000 0.0 275.9
0.000 -136.000 0.0 282.1
0.000 -135.000 0.0 288.5
0.000 -134.000 0.0 295.1
0.000 -133.000 0.0 301.9
0.000 -132.000 0.0 308.9
0.000 -131.000 0.0 316.2
0.000 -130.000 0.0 323.6
0.000 -129.000 0.0 331.3
0.000 -128.000 0.0 339.2
0.000 -127.000 0.0 347.4
0.000 -126.000 0.0 355.9
0.000 -125.000 0.0 364.6
0.000 -124.000 0.0 373.6
0.000 -123.000 0.0 383.0
0.000 -122.000 0.0 392.6
0.000 -121.000 0.0 402.6
0.000 -120.000 0.0 412.9
0.000 -119.000 0.0 423.5
0.000 -118.000 0.0 434.6
0.000 -117.000 0.0 446.0
0.000 -116.000 0.0 457.8
0.000 -115.000 0.0 470.0
0.000 -114.000 0.0 482.7
0.000 -113.000 0.0 495.9
0.000 -112.000 0.0 509.5
0.000 -111.000 0.0 523.6
0.000 -110.000 0.0 538.3
0.000 -109.000 0.0 553.5
0.000 -108.000 0.0 569.2
0.000 -107.000 0.0 585.6
0.000 -106.000 0.0 602.7
0.000 -105.000 0.0 620.3
0.000 -104.000 0.0 638.7
0.000 -103.000 0.0 657.9
0.000 -102.000 0.0 677.8
0.000 -101.000 0.0 698.5
0.000 -100.000 0.0 720.0
0.000 -99.000 0.0 742.5
0.000 -98.000 0.0 765.8
0.000 -97.000 0.0 790.2
0.000 -96.000 0.0 815.6
0.000 -95.000 0.0 842.2
0.000 -94.000 0.0 869.9
0.000 -93.000 0.0 898.8
0.000 -92.000 0.0 929.0
0.000 -91.000 0.0 960.5
0.000 -90.000 0.0 993.5
0.000 -89.000 0.0 1028.1
0.000 -88.000 0.0 1064.2
0.000 -87.000 0.0 1102.0
0.000 -86.000 0.0 1141.7
0.000 -85.000 0.0 1183.3
0.000 -84.000 0.0 1226.9
0.000 -83.000 0.0 1272.6
0.000 -82.000 0.0 1320.7
0.000 -81.000 0.0 1371.2
0.000 -80.000 0.0 1424.2
0.000 -79.000 0.0 1480.0
0.000 -78.000 0.0 1538.8
0.000 -77.000 0.0 1600.7
0.000 -76.000 0.0 1665.9
0.000 -75.000 0.0 1734.6
0.000 -74.000 0.0 1807.2
0.000 -73.000 0.0 1883.7
0.000 -72.000 0.0 1964.7
0.000 -71.000 0.0 2050.3
0.000 -70.000 0.0 2140.8
0.000 -69.000 0.0 2236.7
0.000 -68.000 0.0 2338.3
0.000 -67.000 0.0 2446.0
0.000 -66.000 0.0 2560.3
0.000 -65.000 0.0 2681.7
0.000 -64.000 0.0 2810.7
0.000 -63.000 0.0 2948.0
0.000 -62.000 0.0 3094.1
0.000 -61.000 0.0 3249.7
0.000 -60.000 0.0 3415.7
0.000 -59.000 0.0 3592.9
0.000 -58.000 0.0 3782.1
0.000 -57.000 0.0 3984.3
0.000 -56.000 0.0 4200.8
0.000 -55.000 0.0 4432.5
0.000 -54.000 0.0 4680.9
0.000 -53.000 0.0 4947.3
0.000 -52.000 0.0 5233.4
0.000 -51.000 0.0 5540.8
0.000 -50.000 0.0 5871.4
0.000 -49.000 0.0 6227.2
0.000 -48.000 0.0 6610.6
0.000 -47.000 0.0 7023.9
0.000 -46.000 0.0 7469.8
0.000 -45.000 0.0 7951.2
0.000 -44.000 0.0 8471.4
0.000 -43.000 0.0 9033.8
0.000 -42.000 0.0 9642.1
0.000 -41.000 0.0 10300.5
0.000 -40.000 0.0 11013.3
0.000 -39.000 0.0 11785.2
0.000 -38.000 0.0 12621.3
0.000 -37.000 0.0 13526.9
0.000 -36.000 0.0 14507.6
0.000 -35.000 0.0 15569.3
0.000 -34.000 0.0 16718.0
0.000 -33.000 0.0 17959.8
0.000 -32.000 0.0 19300.6
0.000 -31.000 0.0 20746.2
0.000 -30.000 0.0 22301.8
0.000 -29.000 0.0 23971.9
0.000 -28.000 0.0 25759.6
0.000 -27.000 0.0 27666.3
0.000 -26.000 0.0 29691.1
0.000 -25.000 0.0 31829.8
0.000 -24.000 0.0 34074.1
0.000 -23.000 0.0 36410.4
0.000 -22.000 0.0 38818.3
0.000 -21.000 0.0 41269.1
0.000 -20.000 0.0 43724.3
0.000 -19.000 0.0 46134.0
0.000 -18.000 0.0 48435.6
0.000 -17.000 0.0 50554.2
0.000 -16.000 0.0 52404.7
0.000 -15.000 0.0 53896.6
0.000 -14.000 0.0 54943.8
0.000 -13.000 0.0 55480.0
0.000 -12.000 0.0 55479.2
0.000 -11.000 0.0 54979.3
0.000 -10.000 0.0 54097.0
0.000 -9.000 0.0 53019.9
0.000 -8.000 0.0 51963.1
0.000 -7.000 0.0 51102.2
0.000 -6.000 0.0 50519.4
0.000 -5.000 0.0 50196.1
0.000 -4.000 0.0 50053.8
0.000 -3.000 0.0 50007.2
0.000 -2.000 0.0 49997.2
0.000 -1.000 0.0 49996.2
0.000 0.000 0.0 49996.3
0.000 1.000 0.0 49996.2
0.000 2.000 0.0 49997.2
0.000 3.000 0.0 50007.2
0.000 4.000 0.0 50053.8
0.000 5.000 0.0 50196.1
0.000 6.000 0.0 50519.4
0.000 7.000 0.0 51102.2
0.000 8.000 0.0 51963.1
0.000 9.000 0.0 53019.9
0.000 10.000 0.0 54097.0
0.000 11.000 0.0 54979.3
0.000 12.000 0.0 55479.2
0.000 13.000 0.0 55480.0
0.000 14.000 0.0 54943.8
0.000 15.000 0.0 53896.6
0.000 16.000 0.0 52404.7
0.000 17.000 0.0 50554.2
0.000 18.000 0.0 48435.6
0.000 19.000 0.0 46134.0
0.000 20.000 0.0 43724.3
0.000 21.000 0.0 41269.1
0.000 22.000 0.0 38818.3
0.000 23.000 0.0 36410.4
