   solid_PVDIS_gem_1  |                root  |             solid_PVDIS_gem_1  |                                0*cm 0*cm 157.5*cm  |                       0*deg 0*deg 0*deg  | 111111   |                Tube  |                    46*cm 126.789*cm 7.7625*mm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
 solid_PVDIS_gem_1_1  |   solid_PVDIS_gem_1  |           solid_PVDIS_gem_1_1  |     -173.390310817378*mm 815.720579083091*mm 0*mm  |                  -90*deg -192*deg 0*deg  | 1a4fff   |                 Trd  |         98.305*mm 248.77*mm 7.7625*mm 7.7625*mm  353.945*mm  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_PVDIS_gem_1_1_1  | solid_PVDIS_gem_1_1  |         solid_PVDIS_gem_1_1_1  |                                0*mm -7.76*mm 0*mm  |                       0*deg 0*deg 0*deg  | 00ff00   |                 Trd  |          89.35*mm 227.06*mm 0.0025*mm 0.0025*mm  323.945*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101001 
solid_PVDIS_gem_1_1_2  | solid_PVDIS_gem_1_1  |         solid_PVDIS_gem_1_1_2  |                              0*mm -7.7475*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffse14   |                 Trd  |              89.35*mm 227.06*mm 0.01*mm 0.01*mm  323.945*mm  |        SL_gem_mylar  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101002 
solid_PVDIS_gem_1_1_3  | solid_PVDIS_gem_1_1  |         solid_PVDIS_gem_1_1_3  |                              0*mm -6.2375*mm 0*mm  |                       0*deg 0*deg 0*deg  | ff33fc   |                 Trd  |                89.35*mm 227.06*mm 1.5*mm 1.5*mm  323.945*mm  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101003 
solid_PVDIS_gem_1_1_4  | solid_PVDIS_gem_1_1  |         solid_PVDIS_gem_1_1_4  |                              0*mm -4.7125*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1a4fff   |                 Trd  |            89.35*mm 227.06*mm 0.025*mm 0.025*mm  323.945*mm  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101004 
solid_PVDIS_gem_1_1_5  | solid_PVDIS_gem_1_1  |         solid_PVDIS_gem_1_1_5  |                               0*mm -4.685*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffe731   |                 Trd  |          89.35*mm 227.06*mm 0.0025*mm 0.0025*mm  323.945*mm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 1101005 
solid_PVDIS_gem_1_1_6  | solid_PVDIS_gem_1_1  |         solid_PVDIS_gem_1_1_6  |                              0*mm -3.1825*mm 0*mm  |                       0*deg 0*deg 0*deg  | ff33fc   |                 Trd  |                89.35*mm 227.06*mm 1.5*mm 1.5*mm  323.945*mm  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 1101006 
solid_PVDIS_gem_1_1_7  | solid_PVDIS_gem_1_1  |         solid_PVDIS_gem_1_1_7  |                                0*mm -1.68*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffe731   |                 Trd  |          89.35*mm 227.06*mm 0.0025*mm 0.0025*mm  323.945*mm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 1101007 
solid_PVDIS_gem_1_1_8  | solid_PVDIS_gem_1_1  |         solid_PVDIS_gem_1_1_8  |                              0*mm -1.6525*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1a4fff   |                 Trd  |            89.35*mm 227.06*mm 0.025*mm 0.025*mm  323.945*mm  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101008 
solid_PVDIS_gem_1_1_9  | solid_PVDIS_gem_1_1  |         solid_PVDIS_gem_1_1_9  |                               0*mm -1.625*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffe731   |                 Trd  |          89.35*mm 227.06*mm 0.0025*mm 0.0025*mm  323.945*mm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 1101009 
solid_PVDIS_gem_1_1_10  | solid_PVDIS_gem_1_1  |        solid_PVDIS_gem_1_1_10  |                   0*mm -0.622500000000001*mm 0*mm  |                       0*deg 0*deg 0*deg  | ff33fc   |                 Trd  |                    89.35*mm 227.06*mm 1*mm 1*mm  323.945*mm  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 1101010 
solid_PVDIS_gem_1_1_11  | solid_PVDIS_gem_1_1  |        solid_PVDIS_gem_1_1_11  |                    0*mm 0.379999999999999*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffe731   |                 Trd  |          89.35*mm 227.06*mm 0.0025*mm 0.0025*mm  323.945*mm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 1101011 
solid_PVDIS_gem_1_1_12  | solid_PVDIS_gem_1_1  |        solid_PVDIS_gem_1_1_12  |                    0*mm 0.407499999999999*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1a4fff   |                 Trd  |            89.35*mm 227.06*mm 0.025*mm 0.025*mm  323.945*mm  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101012 
solid_PVDIS_gem_1_1_13  | solid_PVDIS_gem_1_1  |        solid_PVDIS_gem_1_1_13  |                    0*mm 0.434999999999999*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffe731   |                 Trd  |          89.35*mm 227.06*mm 0.0025*mm 0.0025*mm  323.945*mm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101013 
solid_PVDIS_gem_1_1_14  | solid_PVDIS_gem_1_1  |        solid_PVDIS_gem_1_1_14  |                               0*mm 1.4375*mm 0*mm  |                       0*deg 0*deg 0*deg  | ff33fc   |                 Trd  |                    89.35*mm 227.06*mm 1*mm 1*mm  323.945*mm  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101014 
solid_PVDIS_gem_1_1_15  | solid_PVDIS_gem_1_1  |        solid_PVDIS_gem_1_1_15  |                                 0*mm 2.44*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffe731   |                 Trd  |          89.35*mm 227.06*mm 0.0025*mm 0.0025*mm  323.945*mm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101015 
solid_PVDIS_gem_1_1_16  | solid_PVDIS_gem_1_1  |        solid_PVDIS_gem_1_1_16  |                               0*mm 2.4675*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1a4fff   |                 Trd  |            89.35*mm 227.06*mm 0.025*mm 0.025*mm  323.945*mm  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101016 
solid_PVDIS_gem_1_1_17  | solid_PVDIS_gem_1_1  |        solid_PVDIS_gem_1_1_17  |                                0*mm 2.495*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffe731   |                 Trd  |          89.35*mm 227.06*mm 0.0025*mm 0.0025*mm  323.945*mm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101017 
solid_PVDIS_gem_1_1_18  | solid_PVDIS_gem_1_1  |        solid_PVDIS_gem_1_1_18  |                               0*mm 3.4975*mm 0*mm  |                       0*deg 0*deg 0*deg  | ff33fc   |                 Trd  |                    89.35*mm 227.06*mm 1*mm 1*mm  323.945*mm  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101018 
solid_PVDIS_gem_1_1_19  | solid_PVDIS_gem_1_1  |        solid_PVDIS_gem_1_1_19  |                               0*mm 4.5025*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffe731   |                 Trd  |            89.35*mm 227.06*mm 0.005*mm 0.005*mm  323.945*mm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 1101019 
solid_PVDIS_gem_1_1_20  | solid_PVDIS_gem_1_1  |        solid_PVDIS_gem_1_1_20  |                               0*mm 4.5325*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1a4fff   |                 Trd  |            89.35*mm 227.06*mm 0.025*mm 0.025*mm  323.945*mm  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101020 
solid_PVDIS_gem_1_1_21  | solid_PVDIS_gem_1_1  |        solid_PVDIS_gem_1_1_21  |                               0*mm 4.6475*mm 0*mm  |                       0*deg 0*deg 0*deg  | 00ffdd   |                 Trd  |              89.35*mm 227.06*mm 0.09*mm 0.09*mm  323.945*mm  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101021 
solid_PVDIS_gem_1_1_22  | solid_PVDIS_gem_1_1  |        solid_PVDIS_gem_1_1_22  |                               0*mm 6.2375*mm 0*mm  |                       0*deg 0*deg 0*deg  | ff33fc   |                 Trd  |                89.35*mm 227.06*mm 1.5*mm 1.5*mm  323.945*mm  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101022 
solid_PVDIS_gem_1_1_23  | solid_PVDIS_gem_1_1  |        solid_PVDIS_gem_1_1_23  |                               0*mm 7.7475*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffse14   |                 Trd  |              89.35*mm 227.06*mm 0.01*mm 0.01*mm  323.945*mm  |        SL_gem_mylar  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101023 
solid_PVDIS_gem_1_1_24  | solid_PVDIS_gem_1_1  |        solid_PVDIS_gem_1_1_24  |                                 0*mm 7.76*mm 0*mm  |                       0*deg 0*deg 0*deg  | ddse00   |                 Trd  |          89.35*mm 227.06*mm 0.0025*mm 0.0025*mm  323.945*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101024 
 solid_PVDIS_gem_1_2  |   solid_PVDIS_gem_1  |           solid_PVDIS_gem_1_2  |     -490.184041727563*mm 674.673156617803*mm 0*mm  |                  -90*deg -216*deg 0*deg  | 1a4fff   |                 Trd  |         98.305*mm 248.77*mm 7.7625*mm 7.7625*mm  353.945*mm  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_PVDIS_gem_1_2_1  | solid_PVDIS_gem_1_2  |         solid_PVDIS_gem_1_2_1  |                                0*mm -7.76*mm 0*mm  |                       0*deg 0*deg 0*deg  | 00ff00   |                 Trd  |          89.35*mm 227.06*mm 0.0025*mm 0.0025*mm  323.945*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1102001 
solid_PVDIS_gem_1_2_2  | solid_PVDIS_gem_1_2  |         solid_PVDIS_gem_1_2_2  |                              0*mm -7.7475*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffse14   |                 Trd  |              89.35*mm 227.06*mm 0.01*mm 0.01*mm  323.945*mm  |        SL_gem_mylar  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1102002 
solid_PVDIS_gem_1_2_3  | solid_PVDIS_gem_1_2  |         solid_PVDIS_gem_1_2_3  |                              0*mm -6.2375*mm 0*mm  |                       0*deg 0*deg 0*deg  | ff33fc   |                 Trd  |                89.35*mm 227.06*mm 1.5*mm 1.5*mm  323.945*mm  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1102003 
solid_PVDIS_gem_1_2_4  | solid_PVDIS_gem_1_2  |         solid_PVDIS_gem_1_2_4  |                              0*mm -4.7125*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1a4fff   |                 Trd  |            89.35*mm 227.06*mm 0.025*mm 0.025*mm  323.945*mm  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1102004 
solid_PVDIS_gem_1_2_5  | solid_PVDIS_gem_1_2  |         solid_PVDIS_gem_1_2_5  |                               0*mm -4.685*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffe731   |                 Trd  |          89.35*mm 227.06*mm 0.0025*mm 0.0025*mm  323.945*mm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 1102005 
solid_PVDIS_gem_1_2_6  | solid_PVDIS_gem_1_2  |         solid_PVDIS_gem_1_2_6  |                              0*mm -3.1825*mm 0*mm  |                       0*deg 0*deg 0*deg  | ff33fc   |                 Trd  |                89.35*mm 227.06*mm 1.5*mm 1.5*mm  323.945*mm  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 1102006 
solid_PVDIS_gem_1_2_7  | solid_PVDIS_gem_1_2  |         solid_PVDIS_gem_1_2_7  |                                0*mm -1.68*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffe731   |                 Trd  |          89.35*mm 227.06*mm 0.0025*mm 0.0025*mm  323.945*mm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 1102007 
solid_PVDIS_gem_1_2_8  | solid_PVDIS_gem_1_2  |         solid_PVDIS_gem_1_2_8  |                              0*mm -1.6525*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1a4fff   |                 Trd  |            89.35*mm 227.06*mm 0.025*mm 0.025*mm  323.945*mm  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1102008 
solid_PVDIS_gem_1_2_9  | solid_PVDIS_gem_1_2  |         solid_PVDIS_gem_1_2_9  |                               0*mm -1.625*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffe731   |                 Trd  |          89.35*mm 227.06*mm 0.0025*mm 0.0025*mm  323.945*mm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 1102009 
solid_PVDIS_gem_1_2_10  | solid_PVDIS_gem_1_2  |        solid_PVDIS_gem_1_2_10  |                   0*mm -0.622500000000001*mm 0*mm  |                       0*deg 0*deg 0*deg  | ff33fc   |                 Trd  |                    89.35*mm 227.06*mm 1*mm 1*mm  323.945*mm  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 1102010 
solid_PVDIS_gem_1_2_11  | solid_PVDIS_gem_1_2  |        solid_PVDIS_gem_1_2_11  |                    0*mm 0.379999999999999*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffe731   |                 Trd  |          89.35*mm 227.06*mm 0.0025*mm 0.0025*mm  323.945*mm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 1102011 
solid_PVDIS_gem_1_2_12  | solid_PVDIS_gem_1_2  |        solid_PVDIS_gem_1_2_12  |                    0*mm 0.407499999999999*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1a4fff   |                 Trd  |            89.35*mm 227.06*mm 0.025*mm 0.025*mm  323.945*mm  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1102012 
solid_PVDIS_gem_1_2_13  | solid_PVDIS_gem_1_2  |        solid_PVDIS_gem_1_2_13  |                    0*mm 0.434999999999999*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffe731   |                 Trd  |          89.35*mm 227.06*mm 0.0025*mm 0.0025*mm  323.945*mm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1102013 
solid_PVDIS_gem_1_2_14  | solid_PVDIS_gem_1_2  |        solid_PVDIS_gem_1_2_14  |                               0*mm 1.4375*mm 0*mm  |                       0*deg 0*deg 0*deg  | ff33fc   |                 Trd  |                    89.35*mm 227.06*mm 1*mm 1*mm  323.945*mm  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1102014 
solid_PVDIS_gem_1_2_15  | solid_PVDIS_gem_1_2  |        solid_PVDIS_gem_1_2_15  |                                 0*mm 2.44*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffe731   |                 Trd  |          89.35*mm 227.06*mm 0.0025*mm 0.0025*mm  323.945*mm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1102015 
