solid_SIDIS_hgc_chamber  |                root  |       solid_SIDIS_hgc_chamber  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | CCCC33   |            Polycone  |0*deg 360*deg 3*counts 77*cm 87*cm 225*cm 240*cm 240*cm 240*cm 326*cm 416*cm 426*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 solid_SIDIS_hgc_gas  |solid_SIDIS_hgc_chamber  |           solid_SIDIS_hgc_gas  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | CCCC33   |            Polycone  |0*deg 360*deg 3*counts 80.175*cm 90.175*cm 228.175*cm 237.46*cm 237.46*cm 237.46*cm 326.1016*cm 416*cm 425.365*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_window_front_1  |solid_SIDIS_hgc_chamber  |solid_SIDIS_hgc_window_front_1  |                             0*cm 0*cm 326.0508*cm  |                       0*deg 0*deg 0*deg  | CCCC33   |                Tube  |                    80.175*cm 187*cm 0.0508*cm 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_coneout_1  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_coneout_1  |-21.9915038193695*cm 209.235239760247*cm 350.027815385814*cm  |       ordered: zxy -96*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_1  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_conein_1  |-21.9915038193695*cm 209.235239760247*cm 350.027815385814*cm  |       ordered: zxy -96*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_1  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_1  |-21.9915038193695*cm 209.235239760247*cm 350.027815385814*cm  |       ordered: zxy -96*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_1 - solid_SIDIS_hgc_conein_1  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                       id manual 2201002 
solid_SIDIS_hgc_coneout_2  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_coneout_2  |-65.0133884598023*cm 200.090657250008*cm 350.027815385814*cm  |      ordered: zxy -108*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_2  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_conein_2  |-65.0133884598023*cm 200.090657250008*cm 350.027815385814*cm  |      ordered: zxy -108*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_2  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_2  |-65.0133884598023*cm 200.090657250008*cm 350.027815385814*cm  |      ordered: zxy -108*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_2 - solid_SIDIS_hgc_conein_2  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                       id manual 2202002 
solid_SIDIS_hgc_coneout_3  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_coneout_3  |-105.193876152275*cm 182.201153173697*cm 350.027815385814*cm  |      ordered: zxy -120*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_3  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_conein_3  |-105.193876152275*cm 182.201153173697*cm 350.027815385814*cm  |      ordered: zxy -120*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
