solid_DDVCS_muon_gem_forwardangle_1  |                root  |solid_DDVCS_muon_gem_forwardangle_1  |                                0*cm 0*cm 658.5*cm  |                       0*deg 0*deg 0*deg  | 111111   |                Tube  |                       100*cm 285*cm 8.0025*mm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_DDVCS_muon_gem_forwardangle_1_1_1  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_1  |                              0*cm 0*cm -7.9775*mm  |                     0*deg 0*deg -96*deg  | 00ff00   |                Tube  |                        100*cm 285*cm 0.025*mm -6*deg 12*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101001 
solid_DDVCS_muon_gem_forwardangle_1_1_2  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_2  |                                0*cm 0*cm -7.89*mm  |                     0*deg 0*deg -96*deg  | 00ffdd   |                Tube  |                       100*cm 285*cm 0.0625*mm -6*deg 12*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101002 
solid_DDVCS_muon_gem_forwardangle_1_1_3  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_3  |                              0*cm 0*cm -6.3275*mm  |                     0*deg 0*deg -96*deg  | 00ff11   |                Tube  |                          100*cm 285*cm 1.5*mm -6*deg 12*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101003 
solid_DDVCS_muon_gem_forwardangle_1_1_4  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_4  |                              0*cm 0*cm -4.7375*mm  |                     0*deg 0*deg -96*deg  | 00ffdd   |                Tube  |                         100*cm 285*cm 0.09*mm -6*deg 12*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101004 
solid_DDVCS_muon_gem_forwardangle_1_1_5  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_5  |                              0*cm 0*cm -4.6225*mm  |                     0*deg 0*deg -96*deg  | 1a4fff   |                Tube  |                        100*cm 285*cm 0.025*mm -6*deg 12*deg  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101005 
solid_DDVCS_muon_gem_forwardangle_1_1_6  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_6  |                               0*cm 0*cm -4.595*mm  |                     0*deg 0*deg -96*deg  | ffe731   |                Tube  |                       100*cm 285*cm 0.0025*mm -6*deg 12*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 6101006 
solid_DDVCS_muon_gem_forwardangle_1_1_7  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_7  |                              0*cm 0*cm -3.0925*mm  |                     0*deg 0*deg -96*deg  | ff33fc   |                Tube  |                          100*cm 285*cm 1.5*mm -6*deg 12*deg  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 6101007 
solid_DDVCS_muon_gem_forwardangle_1_1_8  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_8  |                                0*cm 0*cm -1.59*mm  |                     0*deg 0*deg -96*deg  | ffe731   |                Tube  |                       100*cm 285*cm 0.0025*mm -6*deg 12*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 6101008 
solid_DDVCS_muon_gem_forwardangle_1_1_9  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_9  |                              0*cm 0*cm -1.5625*mm  |                     0*deg 0*deg -96*deg  | 1a4fff   |                Tube  |                        100*cm 285*cm 0.025*mm -6*deg 12*deg  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101009 
solid_DDVCS_muon_gem_forwardangle_1_1_10  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_10  |                               0*cm 0*cm -1.535*mm  |                     0*deg 0*deg -96*deg  | ffe731   |                Tube  |                       100*cm 285*cm 0.0025*mm -6*deg 12*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 6101010 
solid_DDVCS_muon_gem_forwardangle_1_1_11  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_11  |                              0*cm 0*cm -0.5325*mm  |                     0*deg 0*deg -96*deg  | ff33fc   |                Tube  |                            100*cm 285*cm 1*mm -6*deg 12*deg  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 6101011 
solid_DDVCS_muon_gem_forwardangle_1_1_12  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_12  |                                 0*cm 0*cm 0.47*mm  |                     0*deg 0*deg -96*deg  | ffe731   |                Tube  |                       100*cm 285*cm 0.0025*mm -6*deg 12*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 6101012 
solid_DDVCS_muon_gem_forwardangle_1_1_13  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_13  |                               0*cm 0*cm 0.4975*mm  |                     0*deg 0*deg -96*deg  | 1a4fff   |                Tube  |                        100*cm 285*cm 0.025*mm -6*deg 12*deg  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101013 
solid_DDVCS_muon_gem_forwardangle_1_1_14  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_14  |                                0*cm 0*cm 0.525*mm  |                     0*deg 0*deg -96*deg  | ffe731   |                Tube  |                       100*cm 285*cm 0.0025*mm -6*deg 12*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101014 
solid_DDVCS_muon_gem_forwardangle_1_1_15  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_15  |                               0*cm 0*cm 1.5275*mm  |                     0*deg 0*deg -96*deg  | ff33fc   |                Tube  |                            100*cm 285*cm 1*mm -6*deg 12*deg  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101015 
solid_DDVCS_muon_gem_forwardangle_1_1_16  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_16  |                                 0*cm 0*cm 2.53*mm  |                     0*deg 0*deg -96*deg  | ffe731   |                Tube  |                       100*cm 285*cm 0.0025*mm -6*deg 12*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101016 
solid_DDVCS_muon_gem_forwardangle_1_1_17  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_17  |                               0*cm 0*cm 2.5575*mm  |                     0*deg 0*deg -96*deg  | 1a4fff   |                Tube  |                        100*cm 285*cm 0.025*mm -6*deg 12*deg  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101017 
solid_DDVCS_muon_gem_forwardangle_1_1_18  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_18  |                                0*cm 0*cm 2.585*mm  |                     0*deg 0*deg -96*deg  | ffe731   |                Tube  |                       100*cm 285*cm 0.0025*mm -6*deg 12*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101018 
solid_DDVCS_muon_gem_forwardangle_1_1_19  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_19  |                               0*cm 0*cm 3.5875*mm  |                     0*deg 0*deg -96*deg  | ff33fc   |                Tube  |                            100*cm 285*cm 1*mm -6*deg 12*deg  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101019 
solid_DDVCS_muon_gem_forwardangle_1_1_20  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_20  |                               0*cm 0*cm 4.5925*mm  |                     0*deg 0*deg -96*deg  | ffe731   |                Tube  |                        100*cm 285*cm 0.005*mm -6*deg 12*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 6101020 
solid_DDVCS_muon_gem_forwardangle_1_1_21  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_21  |                               0*cm 0*cm 4.6225*mm  |                     0*deg 0*deg -96*deg  | 1a4fff   |                Tube  |                        100*cm 285*cm 0.025*mm -6*deg 12*deg  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101021 
solid_DDVCS_muon_gem_forwardangle_1_1_22  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_22  |                               0*cm 0*cm 4.7375*mm  |                     0*deg 0*deg -96*deg  | 00ffdd   |                Tube  |                         100*cm 285*cm 0.09*mm -6*deg 12*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101022 
solid_DDVCS_muon_gem_forwardangle_1_1_23  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_23  |                               0*cm 0*cm 6.3275*mm  |                     0*deg 0*deg -96*deg  | 00ff11   |                Tube  |                          100*cm 285*cm 1.5*mm -6*deg 12*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101023 
solid_DDVCS_muon_gem_forwardangle_1_1_24  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_24  |                                 0*cm 0*cm 7.89*mm  |                     0*deg 0*deg -96*deg  | 00ffdd   |                Tube  |                       100*cm 285*cm 0.0625*mm -6*deg 12*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101024 
