solid_PVDIS_ec_forwardangle_shield  |                root  |solid_PVDIS_ec_forwardangle_shield  |                              0*cm 0*cm 334.082*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |                Tube  |                         100*cm 265*cm 0.56*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |            solid_ec  |            solid_ec  |                       id manual 3160000 
solid_PVDIS_ec_forwardangle_showe1  |                root  |solid_PVDIS_ec_forwardangle_showe1  |                     -39.116*cm -120.984*cm 360*cm  |                      0*deg 0*deg 30*deg  | ffff00   |                Pgon  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -20.758*cm 20.758*cm  |      G4_POLYSTYRENE  |                  no  |     1   |     1   |     1   |   1   |   1   |            solid_ec  |            solid_ec  |                       id manual 3100001 
solid_PVDIS_ec_forwardangle_showe1_lead1  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_lead1  |                              0*cm 0*cm -20.733*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |                Pgon  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.025*cm 0.025*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3130001 
solid_PVDIS_ec_forwardangle_showe1_gapfront1  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_gapfront1  |                             0*cm 0*cm -20.7045*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Pgon  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  | G4_TITANIUM_DIOXIDE  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3140001 
solid_PVDIS_ec_forwardangle_showe1_gapback1  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_gapback1  |                             0*cm 0*cm -20.5475*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Pgon  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  | G4_TITANIUM_DIOXIDE  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3150001 
solid_PVDIS_ec_forwardangle_showe1_lead2  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_lead2  |                              0*cm 0*cm -20.519*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_PVDIS_ec_forwardangle_showe1_lead1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3130001 
solid_PVDIS_ec_forwardangle_showe1_gapfront2  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_gapfront2  |                             0*cm 0*cm -20.4905*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_PVDIS_ec_forwardangle_showe1_gapfront1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  | G4_TITANIUM_DIOXIDE  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3140001 
solid_PVDIS_ec_forwardangle_showe1_gapback2  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_gapback2  |                             0*cm 0*cm -20.3335*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_PVDIS_ec_forwardangle_showe1_gapback1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  | G4_TITANIUM_DIOXIDE  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3150001 
solid_PVDIS_ec_forwardangle_showe1_lead3  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_lead3  |                              0*cm 0*cm -20.305*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_PVDIS_ec_forwardangle_showe1_lead1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3130001 
solid_PVDIS_ec_forwardangle_showe1_gapfront3  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_gapfront3  |                             0*cm 0*cm -20.2765*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_PVDIS_ec_forwardangle_showe1_gapfront1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  | G4_TITANIUM_DIOXIDE  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3140001 
solid_PVDIS_ec_forwardangle_showe1_gapback3  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_gapback3  |                             0*cm 0*cm -20.1195*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_PVDIS_ec_forwardangle_showe1_gapback1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  | G4_TITANIUM_DIOXIDE  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3150001 
