      beamline_TACHR  |                root  |                beamline_TACHR  |                                    0*cm 0*cm 0*cm  |                     -90*deg 0*deg 0*deg  | 808080   |                Tube  |                  52.07*cm 57.15*cm 56.8325*cm 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      beamline_TACHI  |                root  |                beamline_TACHI  |                                    0*cm 0*cm 0*cm  |                     -90*deg 0*deg 0*deg  | FF00FF   |                Tube  |                      0*cm 52.07*cm 56.8325*cm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      beamline_TACWI  |      beamline_TACHR  |                beamline_TACWI  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 00FFFF   |                Tube  |             57.0992*cm 57.15*cm 21.59*cm 66.5*deg 113.5*deg  |             Al_2024  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     beamline_TACWI2  |      beamline_TACHR  |               beamline_TACWI2  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |                Tube  |             52.07*cm 57.0992*cm 21.59*cm 66.5*deg 113.5*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     beamline_TACWIH  |      beamline_TACWI  |               beamline_TACWIH  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | ff00ff   |                Tube  |            57.0992*cm 57.15*cm 2.1082*cm 87.89*deg 92.1*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      beamline_TACCN  |                root  |                beamline_TACCN  |                                 0*cm 0*cm 67.4*cm  |                       0*deg 0*deg 0*deg  | 101011   |                Tube  |                       0*cm 2.1082*cm 10.25*cm 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     beamline_TACCNV  |      beamline_TACCN  |               beamline_TACCNV  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | ff00ff   |                Tube  |                       0*cm 1.7526*cm 10.25*cm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
beamline_hallc_2022_vac01  |                root  |Continuous Hall C 2022 beamline vacuum  |                             0*mm 0*mm 837.7715*mm  |                       0*deg 0*deg 0*deg  |00ffff4   |                Tube  |                         0*mm 17*mm 61.2715*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
beamline_hallc_2022_vac02  |                root  |Continuous Hall C 2022 beamline vacuum  |                             0*mm 0*mm 1928.807*mm  |                       0*deg 0*deg 0*deg  |00ffff4   |                Tube  |                        0*mm 25*mm 1029.764*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
beamline_hallc_2022_vac03  |                root  |Continuous Hall C 2022 beamline vacuum  |                             0*mm 0*mm 2965.421*mm  |                       0*deg 0*deg 0*deg  |00ffff4   |                Tube  |                0*mm 25*mm 6.85000000000014*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
beamline_hallc_2022_vac04  |                root  |Continuous Hall C 2022 beamline vacuum  |                              0*mm 0*mm 4281.84*mm  |                       0*deg 0*deg 0*deg  |00ffff4   |                Tube  |                        0*mm 38*mm 1309.569*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
beamline_hallc_2022_vac05  |                root  |Continuous Hall C 2022 beamline vacuum  |                             0*mm 0*mm 5595.705*mm  |                       0*deg 0*deg 0*deg  |00ffff4   |                Tube  |              0*mm 37.5*mm 4.29600000000028*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
beamline_hallc_2022_vac06  |                root  |Continuous Hall C 2022 beamline vacuum  |                             0*mm 0*mm 5658.152*mm  |                       0*deg 0*deg 0*deg  |00ffff4   |                Tube  |                0*mm 98*mm 58.1509999999998*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
beamline_hallc_2022_vac07  |                root  |Continuous Hall C 2022 beamline vacuum  |                             0*mm 0*mm 5734.266*mm  |                       0*deg 0*deg 0*deg  |00ffff4   |                Tube  |                0*mm 98*mm 17.9630000000002*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
beamline_hallc_2022_vac08  |                root  |Continuous Hall C 2022 beamline vacuum  |                             0*mm 0*mm 8302.841*mm  |                       0*deg 0*deg 0*deg  |00ffff4   |                Tube  |                    0*mm 125.75*mm 2550.612*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
beamline_hallc_2022_vac09  |                root  |Continuous Hall C 2022 beamline vacuum  |                           0*mm 0*mm 10961.6485*mm  |                       0*deg 0*deg 0*deg  |00ffff4   |                Tube  |                    0*mm 125.75*mm 108.1955*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
beamline_hallc_2022_vac10  |                root  |Continuous Hall C 2022 beamline vacuum  |                            0*mm 0*mm 11852.109*mm  |                       0*deg 0*deg 0*deg  |00ffff4   |                Tube  |                        0*mm 150*mm 782.265*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
beamline_hallc_2022_vac11  |                root  |Continuous Hall C 2022 beamline vacuum  |                           0*mm 0*mm 12661.8615*mm  |                       0*deg 0*deg 0*deg  |00ffff4   |                Tube  |               0*mm 150*mm 27.4875000000002*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
beamline_hallc_2022_vac12  |                root  |Continuous Hall C 2022 beamline vacuum  |                            0*mm 0*mm 14584.324*mm  |                       0*deg 0*deg 0*deg  |00ffff4   |                Tube  |                       0*mm 217*mm 1894.975*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
beamline_hallc_2022_vac13  |                root  |Continuous Hall C 2022 beamline vacuum  |                            0*mm 0*mm 16508.374*mm  |                       0*deg 0*deg 0*deg  |00ffff4   |                Tube  |               0*mm 217*mm 29.0750000000007*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
beamline_hallc_2022_vac14  |                root  |Continuous Hall C 2022 beamline vacuum  |                            0*mm 0*mm 17748.212*mm  |                       0*deg 0*deg 0*deg  |00ffff4   |                Tube  |                       0*mm 293*mm 1210.763*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
beamline_hallc_2022_vac15  |                root  |Continuous Hall C 2022 beamline vacuum  |                           0*mm 0*mm 19781.8955*mm  |                       0*deg 0*deg 0*deg  |00ffff4   |                Tube  |                     0*mm 276.5*mm 822.9205*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
beamline_hallc_2022_vac16  |                root  |Continuous Hall C 2022 beamline vacuum  |                            0*mm 0*mm 22533.764*mm  |                       0*deg 0*deg 0*deg  |00ffff4   |                Tube  |                       0*mm 293*mm 1928.948*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
beamline_hallc_2022_vac17  |                root  |Continuous Hall C 2022 beamline vacuum  |                            0*mm 0*mm 25577.511*mm  |                       0*deg 0*deg 0*deg  |00ffff4   |                Tube  |                     0*mm 276.5*mm 1114.799*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
