<mfield>
  <description name="nps_corrector" factory="ASCII" comment="nps_corrector"/>
       <symmetry type="cartesian_3D" format="map" integration="ClassicalRK4" minStep="0.01*mm"/>
       <map>
               <coordinate>
                       <first name="X" npoints="2" min="-70" max="70" units="mm"/>
                       <second name="Y" npoints="2" min="-35" max="35" units="mm"/>
                       <third name="Z" npoints="2" min="0" max="210" units="mm"/>
               </coordinate>
               <field unit="gauss"/>
               <interpolation type="linear"/>
               <shift z="0" units="cm"/>
       </map>
</mfield>
-70	-35	0	0     2043    0
-70	-35	210	0     2043    0
-70	 35	0	0     2043    0
-70	 35	210	0     2043    0
 70	-35	0	0     2043    0
 70	-35	210	0     2043    0
 70	 35	0	0     2043    0
 70	 35	210	0     2043    0
