solid_magnet_virtualplane_1  |          cc_pro_tcd  |   solid_magnet_virtualplane_1  |                                  0*cm 0*cm -98*cm  |                       0*deg 0*deg 0*deg  | CC6633   |                 Box  |                                         5*cm 5*cm 0.0001*cm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |                flux  |                flux  |                            id manual 51 
solid_magnet_virtualplane_3  |          cc_pro_tcd  |   solid_magnet_virtualplane_3  |                                 0*cm 0*cm -167*cm  |                       0*deg 0*deg 0*deg  | CC6633   |                 Box  |                                       50*cm 50*cm 0.0001*cm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |                flux  |                flux  |                            id manual 53 
solid_magnet_virtualplane_collimator_box  |          cc_pro_tcd  |30x30 cm pb collimator outer box  |                               0*cm 0*cm -169.2*cm  |                       0*deg 0*deg 0*deg  | cc6633   |                 Box  |                                            15*cm 15*cm 2*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_magnet_virtualplane_collimator_hole  |          cc_pro_tcd  |10x10 cm air hole inside collimator  |                               0*cm 0*cm -169.2*cm  |                       0*deg 0*deg 0*deg  | 00ccff   |                 Box  |                                              5*cm 5*cm 2*cm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_magnet_virtualplane_collimator_final  |          cc_pro_tcd  |Final collimator with 10x10 cm air hole  |                               0*cm 0*cm -169.2*cm  |                       0*deg 0*deg 0*deg  | cc6633   |Operation: solid_magnet_virtualplane_collimator_box - solid_magnet_virtualplane_collimator_hole  |                                                           0  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_magnet_virtualplane_gemleft  |          cc_pro_tcd  |solid_magnet_virtualplane_gemleft  |                             5.6*cm 0*cm -96.23*cm  |                      0*deg 90*deg 0*deg  | CC6633   |                 Box  |                                    1.27*cm 5.5*cm 0.0001*cm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |                flux  |                flux  |                            id manual 31 
solid_magnet_virtualplane_gemright  |          cc_pro_tcd  |solid_magnet_virtualplane_gemright  |                            -5.6*cm 0*cm -96.23*cm  |                      0*deg 90*deg 0*deg  | CC6633   |                 Box  |                                    1.27*cm 5.5*cm 0.0001*cm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |                flux  |                flux  |                            id manual 32 
solid_magnet_virtualplane_gemtop  |          cc_pro_tcd  |solid_magnet_virtualplane_gemtop  |                             0*cm 5.6*cm -96.23*cm  |                      90*deg 0*deg 0*deg  | CC6633   |                 Box  |                                    5.5*cm 1.27*cm 0.0001*cm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |                flux  |                flux  |                            id manual 33 
solid_magnet_virtualplane_gembottom  |          cc_pro_tcd  |solid_magnet_virtualplane_gembottom  |                            0*cm -5.6*cm -96.23*cm  |                      90*deg 0*deg 0*deg  | CC6633   |                 Box  |                                    5.5*cm 1.27*cm 0.0001*cm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |                flux  |                flux  |                            id manual 34 
       PbTunnel_left  |          cc_pro_tcd  |                 PbTunnel_left  |                            9.1*cm 0*cm -112.69*cm  |                      0*deg 90*deg 0*deg  | CC6633   |                 Box  |                                    19.31*cm 7.15*cm 2.54*cm  |      G4_POLYSTYRENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      PbTunnel_right  |          cc_pro_tcd  |                PbTunnel_right  |                           -9.1*cm 0*cm -112.69*cm  |                      0*deg 90*deg 0*deg  | CC6633   |                 Box  |                                    19.31*cm 7.15*cm 2.54*cm  |      G4_POLYSTYRENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
        PbTunnel_top  |          cc_pro_tcd  |                  PbTunnel_top  |                            0*cm 9.1*cm -112.69*cm  |                      90*deg 0*deg 0*deg  | 999999   |                 Box  |                                    9.15*cm 19.31*cm 2.54*cm  |      G4_POLYSTYRENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     PbTunnel_bottom  |          cc_pro_tcd  |               PbTunnel_bottom  |                           0*cm -9.1*cm -112.69*cm  |                      90*deg 0*deg 0*deg  | 999999   |                 Box  |                                    9.15*cm 19.31*cm 2.54*cm  |      G4_POLYSTYRENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
