      solid_mrpc16_1  |          cc_pro_tcd  |16-channel MRPC module 1 mother volume  |                              0*cm 0*cm -128.51*cm  |                       0*deg 0*deg 0*deg  | aaaaaa   |                 Box  |                                    19.2*cm 15.45*cm 1.75*cm  |              G4_AIR  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_PCB_1  |      solid_mrpc16_1  |              MRPC16 PCB layer  |                              0*cm 0*cm 0.64125*cm  |                       0*deg 0*deg 0*deg  | 00aa44   |                 Box  |                                    19.2*cm 15.45*cm 0.04*cm  |              pcbmvd  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_PCB_2  |      solid_mrpc16_1  |              MRPC16 PCB layer  |                              0*cm 0*cm 0.04175*cm  |                       0*deg 0*deg 0*deg  | 00aa44   |                 Box  |                                    19.2*cm 15.45*cm 0.04*cm  |              pcbmvd  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_PCB_3  |      solid_mrpc16_1  |              MRPC16 PCB layer  |                             0*cm 0*cm -0.04175*cm  |                       0*deg 0*deg 0*deg  | 00aa44   |                 Box  |                                    19.2*cm 15.45*cm 0.04*cm  |              pcbmvd  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_PCB_4  |      solid_mrpc16_1  |              MRPC16 PCB layer  |                             0*cm 0*cm -0.64125*cm  |                       0*deg 0*deg 0*deg  | 00aa44   |                 Box  |                                    19.2*cm 15.45*cm 0.04*cm  |              pcbmvd  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_mylar_1  |      solid_mrpc16_1  |            MRPC16 mylar layer  |                              0*cm 0*cm 0.09425*cm  |                       0*deg 0*deg 0*deg  | ff66cc   |                 Box  |                                  19.2*cm 15.45*cm 0.0125*cm  |               mylar  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_mylar_2  |      solid_mrpc16_1  |            MRPC16 mylar layer  |                             0*cm 0*cm -0.09425*cm  |                       0*deg 0*deg 0*deg  | ff66cc   |                 Box  |                                  19.2*cm 15.45*cm 0.0125*cm  |               mylar  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_mylar_3  |      solid_mrpc16_1  |            MRPC16 mylar layer  |                              0*cm 0*cm 0.58525*cm  |                       0*deg 0*deg 0*deg  | ff66cc   |                 Box  |                                  19.2*cm 15.45*cm 0.0125*cm  |               mylar  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_mylar_4  |      solid_mrpc16_1  |            MRPC16 mylar layer  |                             0*cm 0*cm -0.58525*cm  |                       0*deg 0*deg 0*deg  | ff66cc   |                 Box  |                                  19.2*cm 15.45*cm 0.0125*cm  |               mylar  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_electrode_1  |      solid_mrpc16_1  |       MRPC16 carbon electrode  |                                0*cm 0*cm 0.107*cm  |                       0*deg 0*deg 0*deg  | 222222   |                 Box  |                                 19.2*cm 14.25*cm 0.00025*cm  |              carbon  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_electrode_2  |      solid_mrpc16_1  |       MRPC16 carbon electrode  |                               0*cm 0*cm -0.107*cm  |                       0*deg 0*deg 0*deg  | 222222   |                 Box  |                                 19.2*cm 14.25*cm 0.00025*cm  |              carbon  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_electrode_3  |      solid_mrpc16_1  |       MRPC16 carbon electrode  |                               0*cm 0*cm 0.5725*cm  |                       0*deg 0*deg 0*deg  | 222222   |                 Box  |                                 19.2*cm 14.25*cm 0.00025*cm  |              carbon  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_electrode_4  |      solid_mrpc16_1  |       MRPC16 carbon electrode  |                              0*cm 0*cm -0.5725*cm  |                       0*deg 0*deg 0*deg  | 222222   |                 Box  |                                 19.2*cm 14.25*cm 0.00025*cm  |              carbon  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_1  |      solid_mrpc16_1  |          MRPC16 readout strip  |                         0*cm -12.85*cm -0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_2  |      solid_mrpc16_1  |          MRPC16 readout strip  |                         0*cm -11.15*cm -0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_3  |      solid_mrpc16_1  |          MRPC16 readout strip  |                          0*cm -9.45*cm -0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_4  |      solid_mrpc16_1  |          MRPC16 readout strip  |                          0*cm -7.75*cm -0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_5  |      solid_mrpc16_1  |          MRPC16 readout strip  |                          0*cm -6.05*cm -0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_6  |      solid_mrpc16_1  |          MRPC16 readout strip  |                          0*cm -4.35*cm -0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_7  |      solid_mrpc16_1  |          MRPC16 readout strip  |                          0*cm -2.65*cm -0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_8  |      solid_mrpc16_1  |          MRPC16 readout strip  |             0*cm -0.949999999999999*cm -0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_9  |      solid_mrpc16_1  |          MRPC16 readout strip  |                           0*cm 0.75*cm -0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_10  |      solid_mrpc16_1  |          MRPC16 readout strip  |                           0*cm 2.45*cm -0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_11  |      solid_mrpc16_1  |          MRPC16 readout strip  |                           0*cm 4.15*cm -0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_12  |      solid_mrpc16_1  |          MRPC16 readout strip  |                           0*cm 5.85*cm -0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_13  |      solid_mrpc16_1  |          MRPC16 readout strip  |                           0*cm 7.55*cm -0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_14  |      solid_mrpc16_1  |          MRPC16 readout strip  |                           0*cm 9.25*cm -0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_15  |      solid_mrpc16_1  |          MRPC16 readout strip  |                          0*cm 10.95*cm -0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_16  |      solid_mrpc16_1  |          MRPC16 readout strip  |                          0*cm 12.65*cm -0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_17  |      solid_mrpc16_1  |          MRPC16 readout strip  |                          0*cm -12.85*cm 0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_18  |      solid_mrpc16_1  |          MRPC16 readout strip  |                          0*cm -11.15*cm 0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_19  |      solid_mrpc16_1  |          MRPC16 readout strip  |                           0*cm -9.45*cm 0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_20  |      solid_mrpc16_1  |          MRPC16 readout strip  |                           0*cm -7.75*cm 0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_21  |      solid_mrpc16_1  |          MRPC16 readout strip  |                           0*cm -6.05*cm 0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_22  |      solid_mrpc16_1  |          MRPC16 readout strip  |                           0*cm -4.35*cm 0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_23  |      solid_mrpc16_1  |          MRPC16 readout strip  |                           0*cm -2.65*cm 0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_24  |      solid_mrpc16_1  |          MRPC16 readout strip  |              0*cm -0.949999999999999*cm 0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_25  |      solid_mrpc16_1  |          MRPC16 readout strip  |                            0*cm 0.75*cm 0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_26  |      solid_mrpc16_1  |          MRPC16 readout strip  |                            0*cm 2.45*cm 0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_27  |      solid_mrpc16_1  |          MRPC16 readout strip  |                            0*cm 4.15*cm 0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_28  |      solid_mrpc16_1  |          MRPC16 readout strip  |                            0*cm 5.85*cm 0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_29  |      solid_mrpc16_1  |          MRPC16 readout strip  |                            0*cm 7.55*cm 0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_30  |      solid_mrpc16_1  |          MRPC16 readout strip  |                            0*cm 9.25*cm 0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_31  |      solid_mrpc16_1  |          MRPC16 readout strip  |                           0*cm 10.95*cm 0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_32  |      solid_mrpc16_1  |          MRPC16 readout strip  |                           0*cm 12.65*cm 0.5995*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_33  |      solid_mrpc16_1  |  MRPC16 central readout strip  |                               0*cm -12.85*cm 0*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_34  |      solid_mrpc16_1  |  MRPC16 central readout strip  |                               0*cm -11.15*cm 0*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_35  |      solid_mrpc16_1  |  MRPC16 central readout strip  |                                0*cm -9.45*cm 0*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_36  |      solid_mrpc16_1  |  MRPC16 central readout strip  |                                0*cm -7.75*cm 0*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_readout_37  |      solid_mrpc16_1  |  MRPC16 central readout strip  |                                0*cm -6.05*cm 0*cm  |                       0*deg 0*deg 0*deg  | ff9900   |                 Box  |                                  19.2*cm 0.75*cm 0.00175*cm  |              copper  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
