    solid_urgroove_0  |          cc_pro_tcd  |SoLID uRGroove module 0 mother; groove top 0.007 cm; pitch 0.02 cm; approx strips 512  |                                0*cm 0*cm 88.46*cm  |                       0*deg 0*deg 0*deg  | aaaaaa   |                 Box  |                                 5.12*cm 5.12*cm 0.508655*cm  |              G4_AIR  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urgroove_0_window_kapton_0  |    solid_urgroove_0  |uRGroove module 0 window layer; requested material label Kapton; thickness 0.0035 cm  |                            0*cm 0*cm -0.306905*cm  |                       0*deg 0*deg 0*deg  | bf0000   |              G4Trap  |0.00175*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urgroove_0_gas1_urgroove_gas_1  |    solid_urgroove_0  |uRGroove module 0 gas1 layer; requested material label uRGrooveGas; thickness 0.3 cm  |                            0*cm 0*cm -0.155155*cm  |                       0*deg 0*deg 0*deg  | afb0ba   |              G4Trap  |0.15*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |        urgroove_gas  |                  no  |     1   |     0   |     1   |   1   |   1   |            urgroove  |            urgroove  |region manual 1 sector manual 1 chamber manual 1 layer manual 1 component manual 1 
solid_urgroove_0_copper1_Cu_2  |    solid_urgroove_0  |uRGroove module 0 copper1 layer; requested material label Copper; thickness 0.001 cm  |                 0*cm 0*cm -0.00465499999999996*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |              G4Trap  |0.0005*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urgroove_0_adhesive_EM528_3  |    solid_urgroove_0  |uRGroove module 0 adhesive layer; requested material label EM528; thickness 0.0028 cm  |                 0*cm 0*cm -0.00275499999999996*cm  |                       0*deg 0*deg 0*deg  | 14ce3d   |              G4Trap  |0.0014*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |               EM528  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urgroove_0_carbon_dlc_4  |    solid_urgroove_0  |uRGroove module 0 carbon layer; requested material label Carbon; thickness 1e-05 cm  |                 0*cm 0*cm -0.00134999999999997*cm  |                       0*deg 0*deg 0*deg  | 14b6ce   |              G4Trap  |5e-06*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |                 dlc  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urgroove_0_kapton_mid_kapton_5  |    solid_urgroove_0  |uRGroove module 0 kapton_mid layer; requested material label Kapton; thickness 0.005 cm  |                  0*cm 0*cm 0.00115500000000003*cm  |                       0*deg 0*deg 0*deg  | bf0000   |              G4Trap  |0.0025*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urgroove_0_copper2_Cu_6  |    solid_urgroove_0  |uRGroove module 0 copper2 layer; requested material label Copper; thickness 0.001 cm  |                  0*cm 0*cm 0.00415500000000004*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |              G4Trap  |0.0005*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urgroove_0_gas2_urgroove_gas_7  |    solid_urgroove_0  |uRGroove module 0 gas2 layer; requested material label uRGrooveGas; thickness 0.3 cm  |                             0*cm 0*cm 0.154655*cm  |                       0*deg 0*deg 0*deg  | afb0ba   |              G4Trap  |0.15*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |        urgroove_gas  |                  no  |     1   |     0   |     1   |   1   |   1   |            urgroove  |            urgroove  |region manual 1 sector manual 1 chamber manual 1 layer manual 1 component manual 1 
solid_urgroove_0_copper3_Cu_8  |    solid_urgroove_0  |uRGroove module 0 copper3 layer; requested material label Copper; thickness 0.0005 cm  |                             0*cm 0*cm 0.304905*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |              G4Trap  |0.00025*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urgroove_0_kapton_out_kapton_9  |    solid_urgroove_0  |uRGroove module 0 kapton_out layer; requested material label Kapton; thickness 0.0035 cm  |                             0*cm 0*cm 0.306905*cm  |                       0*deg 0*deg 0*deg  | bf0000   |              G4Trap  |0.00175*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    solid_urgroove_1  |          cc_pro_tcd  |SoLID uRGroove module 1 mother; groove top 0.007 cm; pitch 0.02 cm; approx strips 512  |                               0*cm 0*cm 116.88*cm  |                       0*deg 0*deg 0*deg  | aaaaaa   |                 Box  |                                 5.12*cm 5.12*cm 0.508655*cm  |              G4_AIR  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urgroove_1_window_kapton_0  |    solid_urgroove_1  |uRGroove module 1 window layer; requested material label Kapton; thickness 0.0035 cm  |                            0*cm 0*cm -0.306905*cm  |                       0*deg 0*deg 0*deg  | bf0000   |              G4Trap  |0.00175*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urgroove_1_gas1_urgroove_gas_1  |    solid_urgroove_1  |uRGroove module 1 gas1 layer; requested material label uRGrooveGas; thickness 0.3 cm  |                            0*cm 0*cm -0.155155*cm  |                       0*deg 0*deg 0*deg  | afb0ba   |              G4Trap  |0.15*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |        urgroove_gas  |                  no  |     1   |     0   |     1   |   1   |   1   |            urgroove  |            urgroove  |region manual 1 sector manual 2 chamber manual 1 layer manual 1 component manual 1 
solid_urgroove_1_copper1_Cu_2  |    solid_urgroove_1  |uRGroove module 1 copper1 layer; requested material label Copper; thickness 0.001 cm  |                 0*cm 0*cm -0.00465499999999996*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |              G4Trap  |0.0005*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urgroove_1_adhesive_EM528_3  |    solid_urgroove_1  |uRGroove module 1 adhesive layer; requested material label EM528; thickness 0.0028 cm  |                 0*cm 0*cm -0.00275499999999996*cm  |                       0*deg 0*deg 0*deg  | 14ce3d   |              G4Trap  |0.0014*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |               EM528  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urgroove_1_carbon_dlc_4  |    solid_urgroove_1  |uRGroove module 1 carbon layer; requested material label Carbon; thickness 1e-05 cm  |                 0*cm 0*cm -0.00134999999999997*cm  |                       0*deg 0*deg 0*deg  | 14b6ce   |              G4Trap  |5e-06*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |                 dlc  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urgroove_1_kapton_mid_kapton_5  |    solid_urgroove_1  |uRGroove module 1 kapton_mid layer; requested material label Kapton; thickness 0.005 cm  |                  0*cm 0*cm 0.00115500000000003*cm  |                       0*deg 0*deg 0*deg  | bf0000   |              G4Trap  |0.0025*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urgroove_1_copper2_Cu_6  |    solid_urgroove_1  |uRGroove module 1 copper2 layer; requested material label Copper; thickness 0.001 cm  |                  0*cm 0*cm 0.00415500000000004*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |              G4Trap  |0.0005*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urgroove_1_gas2_urgroove_gas_7  |    solid_urgroove_1  |uRGroove module 1 gas2 layer; requested material label uRGrooveGas; thickness 0.3 cm  |                             0*cm 0*cm 0.154655*cm  |                       0*deg 0*deg 0*deg  | afb0ba   |              G4Trap  |0.15*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |        urgroove_gas  |                  no  |     1   |     0   |     1   |   1   |   1   |            urgroove  |            urgroove  |region manual 1 sector manual 2 chamber manual 1 layer manual 1 component manual 1 
solid_urgroove_1_copper3_Cu_8  |    solid_urgroove_1  |uRGroove module 1 copper3 layer; requested material label Copper; thickness 0.0005 cm  |                             0*cm 0*cm 0.304905*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |              G4Trap  |0.00025*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urgroove_1_kapton_out_kapton_9  |    solid_urgroove_1  |uRGroove module 1 kapton_out layer; requested material label Kapton; thickness 0.0035 cm  |                             0*cm 0*cm 0.306905*cm  |                       0*deg 0*deg 0*deg  | bf0000   |              G4Trap  |0.00175*cm 0*deg 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg 5.12*cm 5.12*cm 5.12*cm 0*deg  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
