      solid_urwell_0  |          cc_pro_tcd  |SoLID uRWell module 0 LMU-style compact mother volume  |                                0*cm 0*cm 88.46*cm  |                       0*deg 0*deg 0*deg  | aaaaaa   |                 Box  |                                        5.1*cm 5.1*cm 0.5*cm  |              G4_AIR  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_region  |      solid_urwell_0  |SoLID uRWell module 0 LMU-style compact inner region  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | aaaaaa   |                 Box  |                                       5.1*cm 5.1*cm 0.48*cm  |              G4_AIR  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_window_kapton_0  |solid_urwell_0_region  |uRWell module 0 LMU Box window kapton layer  |                             0*cm 0*cm -0.42605*cm  |                       0*deg 0*deg 0*deg  | bf0000   |                 Box  |                                    5.1*cm 5.1*cm 0.00125*cm  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_window_Al_1  |solid_urwell_0_region  |uRWell module 0 LMU Box window Al layer  |                             0*cm 0*cm -0.42455*cm  |                       0*deg 0*deg 0*deg  | 2a3158   |                 Box  |                                    5.1*cm 5.1*cm 0.00025*cm  |                  Al  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_window_gas_2  |solid_urwell_0_region  |uRWell module 0 LMU Box window gas layer  |                              0*cm 0*cm -0.2743*cm  |                       0*deg 0*deg 0*deg  | afb0ba   |                 Box  |                                       5.1*cm 5.1*cm 0.15*cm  |                 gas  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_cathode_kapton_3  |solid_urwell_0_region  |uRWell module 0 LMU Box cathode kapton layer  |                              0*cm 0*cm -0.1218*cm  |                       0*deg 0*deg 0*deg  | bf0000   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_cathode_Cu_4  |solid_urwell_0_region  |uRWell module 0 LMU Box cathode Cu layer  |                             0*cm 0*cm -0.11905*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                    5.1*cm 5.1*cm 0.00025*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_cathode_gas_5  |solid_urwell_0_region  |uRWell module 0 LMU Box cathode gas layer  |                               0*cm 0*cm 0.0312*cm  |                       0*deg 0*deg 0*deg  | afb0ba   |                 Box  |                                       5.1*cm 5.1*cm 0.15*cm  |                 gas  |                  no  |     1   |     0   |     1   |   1   |   1   |              urwell  |              urwell  |region manual 1 sector manual 1 chamber manual 1 layer manual 1 component manual 1 
solid_urwell_0_muRwell_Cu_6  |solid_urwell_0_region  |uRWell module 0 LMU Box muRwell Cu layer  |                              0*cm 0*cm 0.18125*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                      5.1*cm 5.1*cm 5e-05*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_muRwell_kapton_7  |solid_urwell_0_region  |uRWell module 0 LMU Box muRwell kapton layer  |                               0*cm 0*cm 0.1838*cm  |                       0*deg 0*deg 0*deg  | bf0000   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_dlc_dlc_8  |solid_urwell_0_region  |uRWell module 0 LMU Box dlc dlc layer  |                              0*cm 0*cm 0.18655*cm  |                       0*deg 0*deg 0*deg  | 14b6ce   |                 Box  |                                    5.1*cm 5.1*cm 0.00025*cm  |                 dlc  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_dlc_glue_9  |solid_urwell_0_region  |uRWell module 0 LMU Box dlc glue layer  |                               0*cm 0*cm 0.1882*cm  |                       0*deg 0*deg 0*deg  | 14ce3d   |                 Box  |                                     5.1*cm 5.1*cm 0.0014*cm  |                glue  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_capa_sharing_layer1_Cu_10  |solid_urwell_0_region  |uRWell module 0 LMU Box capa_sharing_layer1 Cu layer  |                              0*cm 0*cm 0.19005*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                    5.1*cm 5.1*cm 0.00045*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_capa_sharing_layer1_glue_11  |solid_urwell_0_region  |uRWell module 0 LMU Box capa_sharing_layer1 glue layer  |                               0*cm 0*cm 0.1919*cm  |                       0*deg 0*deg 0*deg  | 14ce3d   |                 Box  |                                     5.1*cm 5.1*cm 0.0014*cm  |                glue  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_capa_sharing_layer2_Cu_12  |solid_urwell_0_region  |uRWell module 0 LMU Box capa_sharing_layer2 Cu layer  |                              0*cm 0*cm 0.19475*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                    5.1*cm 5.1*cm 0.00145*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_capa_sharing_layer2_glue_13  |solid_urwell_0_region  |uRWell module 0 LMU Box capa_sharing_layer2 glue layer  |                              0*cm 0*cm 0.19995*cm  |                       0*deg 0*deg 0*deg  | 14ce3d   |                 Box  |                                    5.1*cm 5.1*cm 0.00375*cm  |                glue  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_readout1_Cu_14  |solid_urwell_0_region  |uRWell module 0 LMU Box readout1 Cu layer  |                              0*cm 0*cm 0.20555*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                    5.1*cm 5.1*cm 0.00185*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
