            solid_ec  |              bankid  |                                  solid_ec bank ID  |  300   |                  Di  
            solid_ec  |                 pid  |ID of the first particle entering the sensitive volume  |    1   |                  Di  
            solid_ec  |                mpid  |ID of the mother of the first particle entering the sensitive volume  |    2   |                  Di  
            solid_ec  |                 tid  |Track ID of the first particle entering the sensitive volume  |    3   |                  Di  
            solid_ec  |                mtid  |Track ID of the mother of the first particle entering the sensitive volume  |    4   |                  Di  
            solid_ec  |                otid  |Track ID of the original track that generated the first particle entering the sensitive volume  |    5   |                  Di  
            solid_ec  |              trackE  |                               Energy of the track  |    6   |                  Dd  
            solid_ec  |             totEdep  |                            Total Energy Deposited  |    7   |                  Dd  
            solid_ec  |               avg_x  |     Average X position in global reference system  |    8   |                  Dd  
            solid_ec  |               avg_y  |     Average Y position in global reference system  |    9   |                  Dd  
            solid_ec  |               avg_z  |     Average Z position in global reference system  |   10   |                  Dd  
            solid_ec  |              avg_lx  |      Average X position in local reference system  |   11   |                  Dd  
            solid_ec  |              avg_ly  |      Average Y position in local reference system  |   12   |                  Dd  
            solid_ec  |              avg_lz  |      Average Z position in local reference system  |   13   |                  Dd  
            solid_ec  |                  px  |x component of momentum of the particle entering the sensitive volume  |   14   |                  Dd  
            solid_ec  |                  py  |y component of momentum of the particle entering the sensitive volume  |   15   |                  Dd  
            solid_ec  |                  pz  |z component of momentum of the particle entering the sensitive volume  |   16   |                  Dd  
            solid_ec  |                  vx  |x component of primary vertex of the particle entering the sensitive volume  |   17   |                  Dd  
            solid_ec  |                  vy  |y component of primary vertex of the particle entering the sensitive volume  |   18   |                  Dd  
            solid_ec  |                  vz  |z component of primary vertex of the particle entering the sensitive volume  |   19   |                  Dd  
            solid_ec  |                 mvx  |x component of primary vertex of the mother of the particle entering the sensitive volume  |   20   |                  Dd  
            solid_ec  |                 mvy  |y component of primary vertex of the mother of the particle entering the sensitive volume  |   21   |                  Dd  
            solid_ec  |                 mvz  |z component of primary vertex of the mother of the particle entering the sensitive volume  |   22   |                  Dd  
            solid_ec  |               avg_t  |                                      Average time  |   23   |                  Dd  
            solid_ec  |              nsteps  |                            Number of geant4 steps  |   24   |                  Di  
            solid_ec  |              procID  |           Process that created the first particle  |   25   |                  Di  
            solid_ec  |            totEdepB  |                                                    |   26   |                  Dd  
            solid_ec  |             totEend  |                                                    |   27   |                  Dd  
            solid_ec  |           Edep_seg0  |                                                    |   30   |                  Dd  
            solid_ec  |           Edep_seg1  |                                                    |   31   |                  Dd  
            solid_ec  |           Edep_seg2  |                                                    |   32   |                  Dd  
            solid_ec  |           Edep_seg3  |                                                    |   33   |                  Dd  
            solid_ec  |           Edep_seg4  |                                                    |   34   |                  Dd  
            solid_ec  |           Edep_seg5  |                                                    |   35   |                  Dd  
            solid_ec  |           Edep_seg6  |                                                    |   36   |                  Dd  
            solid_ec  |           Edep_seg7  |                                                    |   37   |                  Dd  
            solid_ec  |           Edep_seg8  |                                                    |   38   |                  Dd  
            solid_ec  |           Edep_seg9  |                                                    |   39   |                  Dd  
            solid_ec  |          EdepB_seg0  |                                                    |   40   |                  Dd  
            solid_ec  |          EdepB_seg1  |                                                    |   41   |                  Dd  
            solid_ec  |          EdepB_seg2  |                                                    |   42   |                  Dd  
            solid_ec  |          EdepB_seg3  |                                                    |   43   |                  Dd  
            solid_ec  |          EdepB_seg4  |                                                    |   44   |                  Dd  
            solid_ec  |          EdepB_seg5  |                                                    |   45   |                  Dd  
            solid_ec  |          EdepB_seg6  |                                                    |   46   |                  Dd  
            solid_ec  |          EdepB_seg7  |                                                    |   47   |                  Dd  
            solid_ec  |          EdepB_seg8  |                                                    |   48   |                  Dd  
            solid_ec  |          EdepB_seg9  |                                                    |   49   |                  Dd  
            solid_ec  |           Eend_seg0  |                                                    |   50   |                  Dd  
            solid_ec  |           Eend_seg1  |                                                    |   51   |                  Dd  
            solid_ec  |           Eend_seg2  |                                                    |   52   |                  Dd  
            solid_ec  |           Eend_seg3  |                                                    |   53   |                  Dd  
            solid_ec  |           Eend_seg4  |                                                    |   54   |                  Dd  
            solid_ec  |           Eend_seg5  |                                                    |   55   |                  Dd  
            solid_ec  |           Eend_seg6  |                                                    |   56   |                  Dd  
            solid_ec  |           Eend_seg7  |                                                    |   57   |                  Dd  
            solid_ec  |           Eend_seg8  |                                                    |   58   |                  Dd  
            solid_ec  |           Eend_seg9  |                                                    |   59   |                  Dd  
            solid_ec  |                  id  |                                         id number  |   98   |                  Di  
            solid_ec  |                hitn  |                                        Hit Number  |   99   |                  Di  
         solid_ec_ps  |              bankid  |                               solid_ec_ps bank ID  |  310   |                  Di  
         solid_ec_ps  |                 pid  |ID of the first particle entering the sensitive volume  |    1   |                  Di  
         solid_ec_ps  |                mpid  |ID of the mother of the first particle entering the sensitive volume  |    2   |                  Di  
         solid_ec_ps  |                 tid  |Track ID of the first particle entering the sensitive volume  |    3   |                  Di  
         solid_ec_ps  |                mtid  |Track ID of the mother of the first particle entering the sensitive volume  |    4   |                  Di  
