num_y0	| 10	| - | - | - |  - | - | - | - | - 
y0	| -256.486	| cm | - |  - | - | - | - | - | - 
y0_x0	| -50.292	| cm | - |  - | - | - | - | - | - 
y0_x1	| -39.116	| cm | - |  - | - | - | - | - | - 
y0_x2	| -27.94	| cm | - |  - | - | - | - | - | - 
y0_x3	| -16.764	| cm | - |  - | - | - | - | - | - 
y0_x4	| -5.588	| cm | - |  - | - | - | - | - | - 
y0_x5	| 5.588	| cm | - |  - | - | - | - | - | - 
y0_x6	| 16.764	| cm | - |  - | - | - | - | - | - 
y0_x7	| 27.94	| cm | - |  - | - | - | - | - | - 
y0_x8	| 39.116	| cm | - |  - | - | - | - | - | - 
y0_x9	| 50.292	| cm | - |  - | - | - | - | - | - 
num_y1	| 17	| - | - | - |  - | - | - | - | - 
y1	| -246.807	| cm | - |  - | - | - | - | - | - 
y1_x0	| -89.408	| cm | - |  - | - | - | - | - | - 
y1_x1	| -78.232	| cm | - |  - | - | - | - | - | - 
y1_x2	| -67.056	| cm | - |  - | - | - | - | - | - 
y1_x3	| -55.88	| cm | - |  - | - | - | - | - | - 
y1_x4	| -44.704	| cm | - |  - | - | - | - | - | - 
y1_x5	| -33.528	| cm | - |  - | - | - | - | - | - 
y1_x6	| -22.352	| cm | - |  - | - | - | - | - | - 
y1_x7	| -11.176	| cm | - |  - | - | - | - | - | - 
y1_x8	| 0	| cm | - |  - | - | - | - | - | - 
y1_x9	| 11.176	| cm | - |  - | - | - | - | - | - 
y1_x10	| 22.352	| cm | - |  - | - | - | - | - | - 
y1_x11	| 33.528	| cm | - |  - | - | - | - | - | - 
y1_x12	| 44.704	| cm | - |  - | - | - | - | - | - 
y1_x13	| 55.88	| cm | - |  - | - | - | - | - | - 
y1_x14	| 67.056	| cm | - |  - | - | - | - | - | - 
y1_x15	| 78.232	| cm | - |  - | - | - | - | - | - 
y1_x16	| 89.408	| cm | - |  - | - | - | - | - | - 
num_y2	| 20	| - | - | - |  - | - | - | - | - 
y2	| -237.128	| cm | - |  - | - | - | - | - | - 
y2_x0	| -106.172	| cm | - |  - | - | - | - | - | - 
y2_x1	| -94.996	| cm | - |  - | - | - | - | - | - 
y2_x2	| -83.82	| cm | - |  - | - | - | - | - | - 
y2_x3	| -72.644	| cm | - |  - | - | - | - | - | - 
y2_x4	| -61.468	| cm | - |  - | - | - | - | - | - 
y2_x5	| -50.292	| cm | - |  - | - | - | - | - | - 
y2_x6	| -39.116	| cm | - |  - | - | - | - | - | - 
y2_x7	| -27.94	| cm | - |  - | - | - | - | - | - 
y2_x8	| -16.764	| cm | - |  - | - | - | - | - | - 
y2_x9	| -5.588	| cm | - |  - | - | - | - | - | - 
