solid_ccprototype_chamber  |                root  |     solid_ccprototype_chamber  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | CCCC33   |            Polycone  |0*deg 360*deg 2*counts 130*cm 130*cm 175*cm 175*cm 326*cm 426*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_ccprototype_gas  |solid_ccprototype_chamber  |         solid_ccprototype_gas  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | CCCC33   |            Polycone  |0*deg 360*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_1  |solid_ccprototype_gas  |     solid_ccprototype_block_1  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |102*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_2  |solid_ccprototype_gas  |     solid_ccprototype_block_2  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |114*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_3  |solid_ccprototype_gas  |     solid_ccprototype_block_3  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |126*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_4  |solid_ccprototype_gas  |     solid_ccprototype_block_4  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |138*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_5  |solid_ccprototype_gas  |     solid_ccprototype_block_5  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |150*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_6  |solid_ccprototype_gas  |     solid_ccprototype_block_6  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |162*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_7  |solid_ccprototype_gas  |     solid_ccprototype_block_7  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |174*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_8  |solid_ccprototype_gas  |     solid_ccprototype_block_8  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |186*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_9  |solid_ccprototype_gas  |     solid_ccprototype_block_9  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |198*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_10  |solid_ccprototype_gas  |    solid_ccprototype_block_10  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |210*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_11  |solid_ccprototype_gas  |    solid_ccprototype_block_11  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |222*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_12  |solid_ccprototype_gas  |    solid_ccprototype_block_12  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |234*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_13  |solid_ccprototype_gas  |    solid_ccprototype_block_13  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |246*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
