solid_DDVCS_muon_forwardangle_pat_0_0_0  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_0  |                         -561.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100000 
solid_DDVCS_muon_forwardangle_pat_0_0_1  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_1  |                         -551.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100001 
solid_DDVCS_muon_forwardangle_pat_0_0_2  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_2  |                         -541.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100002 
solid_DDVCS_muon_forwardangle_pat_0_0_3  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_3  |                         -531.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100003 
solid_DDVCS_muon_forwardangle_pat_0_0_4  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_4  |                         -521.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100004 
solid_DDVCS_muon_forwardangle_pat_0_0_5  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_5  |                         -511.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100005 
solid_DDVCS_muon_forwardangle_pat_0_0_6  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_6  |                         -501.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100006 
solid_DDVCS_muon_forwardangle_pat_0_0_7  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_7  |                         -491.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100007 
solid_DDVCS_muon_forwardangle_pat_0_0_8  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_8  |                         -561.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100008 
solid_DDVCS_muon_forwardangle_pat_0_0_9  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_9  |                         -551.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100009 
solid_DDVCS_muon_forwardangle_pat_0_0_10  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_10  |                         -541.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100010 
